	Filename	Batch	Group	Vector	TrueLabel	transforming	untransforming	Prediction.SVM.Caret	Prediction SVM wrong	Vector		geneSet	n	nes	fdr	pred.class GSEA	Prediction GSEA wrong
X4467	4467.txt	9	2	RV.SF.d15	transforming	0.860092248	0.139907752	transforming	0	RV.SF.d15	X4467	SAGA.CORE	18	2.258601277	2.49E-11	transforming	0
X4469	4469.txt	9	3	RV.SF.d15	transforming	0.991539038	0.008460962	transforming	0	RV.SF.d15	X4469	SAGA.CORE	18	2.396533602	0	transforming	0
X4471	4471.txt	9	4	RV.SF.d15	transforming	0.83232109	0.16767891	transforming	0	RV.SF.d15	X4471	SAGA.CORE	18	1.80548509	0.004048003	transforming	0
X4473	4473.txt	9	5	RV.SF.d15	transforming	0.986196777	0.013803223	transforming	0	RV.SF.d15	X4473	SAGA.CORE	18	2.363800674	1.10E-12	transforming	0
X4907	4907.txt	9	1	Mock.d15	untransforming	0.002446319	0.997553681	untransforming	0	Mock.d15	X4907	NA	NA	NA	NA	NA	NA
X4908	4908.txt	9	1	Mock.d15	untransforming	0.474467869	0.525532131	untransforming	0	Mock.d15	X4908	NA	NA	NA	NA	NA	NA
X4909	4909.txt	9	1	Mock.d15	untransforming	0.021162815	0.978837185	untransforming	0	Mock.d15	X4909	NA	NA	NA	NA	NA	NA
X5841	5841.txt	11	1	Mock.d15	untransforming	0.155746545	0.844253455	untransforming	0	Mock.d15	X5841	NA	NA	NA	NA	NA	NA
X5842	5842.txt	11	2	RV.SF.d15	transforming	0.990101175	0.009898825	transforming	0	RV.SF.d15	X5842	SAGA.CORE	18	2.19469963	4.21E-08	transforming	0
X5843	5843.txt	11	3	AV.SF.d15	transforming	0.895616787	0.104383213	transforming	0	AV.SF.d15	X5843	SAGA.CORE	18	-1.289858734	0.16811719	untransforming	1
X5844	5844.txt	11	4	AV.SF.d15	transforming	0.986174184	0.013825816	transforming	0	AV.SF.d15	X5844	SAGA.CORE	18	1.954894468	0.000186895	transforming	0
X5845	5845.txt	11	5	AV.SF.d15	transforming	0.996199674	0.003800326	transforming	0	AV.SF.d15	X5845	SAGA.CORE	18	1.783086118	0.002679475	transforming	0
X5846	5846.txt	11	6	AV.EFS.d15	untransforming	0.113440614	0.886559386	untransforming	0	AV.EFS.d15	X5846	SAGA.CORE	18	-1.501096677	0.054711191	untransforming	0
X5847	5847.txt	11	7	AV.EFS.d15	untransforming	0.002282966	0.997717034	untransforming	0	AV.EFS.d15	X5847	SAGA.CORE	18	-1.66311726	0.014028658	untransforming	0
X5848	5848.txt	11	8	AV.EFS.d15	untransforming	0.006421278	0.993578722	untransforming	0	AV.EFS.d15	X5848	SAGA.CORE	18	-1.74846135	0.004883758	untransforming	0
X6011	6011.txt	10	1	SRS.EFS.d15	untransforming	0.109254789	0.890745211	untransforming	0	SRS.EFS.d15	X6011	NA	NA	NA	NA	NA	NA
