Sample_ID	Filename	Batch	Group	Vector	Class	IVIM_Color	Design_Color
X4467	4467.txt	1	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4469	4469.txt	1	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4471	4471.txt	1	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4473	4473.txt	1	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4907	4907.txt	1	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X4908	4908.txt	1	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X4909	4909.txt	1	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X4990	4990.txt	2	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X4991	4991.txt	2	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4992	4992.txt	2	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4993	4993.txt	2	NA	A3_SIN.LV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4994	4994.txt	2	NA	A3_SIN.LV.SF.eGFP	transforming	#FFFFFF	#CB181D
X4995	4995.txt	2	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X4996	4996.txt	2	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X4997	4997.txt	2	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5094	5094.txt	3	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5095	5095.txt	3	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5096	5096.txt	3	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5097	5097.txt	3	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5098	5098.txt	3	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5099	5099.txt	3	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5118	5118.txt	4	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5119	5119.txt	4	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5120	5120.txt	4	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5265	5265.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5268	5268.txt	5	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5271	5271.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5399	5399.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5400	5400.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5401	5401.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5402	5402.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5403	5403.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5404	5404.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5405	5405.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5406	5406.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5407	5407.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5408	5408.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5409	5409.txt	5	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5410	5410.txt	5	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5468	5468.txt	6	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5469	5469.txt	6	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5470	5470.txt	6	NA	A5_LTR.RV.MLV.IL2RG	transforming	#FFFFFF	#CB181D
X5471	5471.txt	6	NA	A6_LTR.RV.MPSV.WASP	transforming	#FFFFFF	#CB181D
X5472	5472.txt	6	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5473	5473.txt	6	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5474	5474.txt	6	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5475	5475.txt	6	NA	A5_LTR.RV.MLV.IL2RG	transforming	#FFFFFF	#CB181D
X5476	5476.txt	6	NA	A6_LTR.RV.MPSV.WASP	transforming	#FFFFFF	#CB181D
X5477	5477.txt	6	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5478	5478.txt	6	NA	A6_LTR.RV.MPSV.WASP	transforming	#FFFFFF	#CB181D
X5479	5479.txt	6	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5602	5602.txt	7	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5603	5603.txt	7	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5604	5604.txt	7	NA	A5_LTR.RV.MLV.IL2RG	transforming	#FFFFFF	#CB181D
X5605	5605.txt	7	NA	A5_LTR.RV.MLV.IL2RG	transforming	#FFFFFF	#CB181D
X5606	5606.txt	7	NA	A5_LTR.RV.MLV.IL2RG	transforming	#FFFFFF	#CB181D
