Sample_ID	Filename	Name	IVIM_ID	IVIM_Color	IVIM_Farbe	Batch	Immortalized	Immortalized_Code	Immortalized_Color	Vector	Vector_Color	Vector_Farbe	Vector_Group	Design	Design_Code	Design_Color	Design_Farbe	Label	Label_Code	Label_XCode
X4467	4467.txt	RV.SF.d15.N.1	120411	#08306B	deep blue	1	No	1	#737373	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4469	4469.txt	RV.SF.d15.Y.1	120411	#08306B	deep blue	1	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4471	4471.txt	RV.SF.d15.N.2	120411	#08306B	deep blue	1	No	1	#737373	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4473	4473.txt	RV.SF.d15.Y.2	120411	#08306B	deep blue	1	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4907	4907.txt	Mock.d15.N.1	120411	#08306B	deep blue	1	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X4908	4908.txt	Mock.d15.N.2	120411	#08306B	deep blue	1	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X4909	4909.txt	Mock.d15.N.3	120411	#08306B	deep blue	1	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X4990	4990.txt	Mock.d15.N.4	150128	#6A51A3	purple	2	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X4991	4991.txt	RV.SF.d15.Y.3	150128	#6A51A3	purple	2	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4992	4992.txt	RV.SF.d15.Y.4	150128	#6A51A3	purple	2	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4993	4993.txt	LV.SF.d15.Y.1	150128	#6A51A3	purple	2	Yes	2	#A50F15	A3_SIN.LV.SF.eGFP	#E5700F	dark orange	3	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4994	4994.txt	LV.SF.d15.Y.2	150128	#6A51A3	purple	2	Yes	2	#A50F15	A3_SIN.LV.SF.eGFP	#E5700F	dark orange	3	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X4995	4995.txt	LV.EFS.d15.N.1	150128	#6A51A3	purple	2	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X4996	4996.txt	LV.EFS.d15.N.2	150128	#6A51A3	purple	2	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X4997	4997.txt	LV.EFS.d15.N.3	150128	#6A51A3	purple	2	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5094	5094.txt	Mock.d15.N.5	150304	#DD3497	pink	3	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5095	5095.txt	RV.SF.d15.Y.5	150304	#DD3497	pink	3	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5096	5096.txt	LV.EFS.d15.N.4	150304	#DD3497	pink	3	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5097	5097.txt	Mock.d15.N.6	150304	#DD3497	pink	3	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5098	5098.txt	RV.SF.d15.Y.6	150304	#DD3497	pink	3	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
