PROBE_ID	Freq	SYMBOL	NAME
A_52_P162957	20	Frat2	"ref|Mus musculus frequently rearranged in advanced T cell lymphomas 2 (Frat2), mRNA [NM_177603]"
A_52_P663904	20	Lhfpl1	"ref|Mus musculus lipoma HMGIC fusion partner-like 1 (Lhfpl1), mRNA [NM_178358]"
A_55_P1957249	20	Pdgfrb	"ref|Mus musculus platelet derived growth factor receptor, beta polypeptide (Pdgfrb), transcript variant 1, mRNA [NM_001146268]"
A_55_P2018929	20	Spns2	"ref|Mus musculus spinster homolog 2 (Spns2), mRNA [NM_153060]"
A_55_P2024155	20	Zbtb16	"ref|Mus musculus zinc finger and BTB domain containing 16 (Zbtb16), mRNA [NM_001033324]"
A_55_P2032659	20	Tox	"ref|Mus musculus thymocyte selection-associated high mobility group box (Tox), mRNA [NM_145711]"
A_55_P2057587	20	Arx	"ref|Mus musculus aristaless related homeobox (Arx), mRNA [NM_007492]"
A_55_P2077048	20	Itih5	"ref|Mus musculus inter-alpha (globulin) inhibitor H5 (Itih5), mRNA [NM_172471]"
A_55_P2171158	20	Hmgn1	"ref|Mus musculus high mobility group nucleosomal binding domain 1 (Hmgn1), mRNA [NM_008251]"
A_66_P122086	20	9030619P08Rik	"ref|Mus musculus RIKEN cDNA 9030619P08 gene (9030619P08Rik), mRNA [NM_001039720]"
A_51_P115626	16	Shank3	"ref|Mus musculus SH3/ankyrin domain gene 3 (Shank3), mRNA [NM_021423]"
A_55_P2269983	15	4933406B15Rik	"gb|Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4933406B15 product:unclassifiable, full insert sequence. [AK016679]"
A_51_P289392	13	Naip1	"ref|Mus musculus NLR family, apoptosis inhibitory protein 1 (Naip1), mRNA [NM_008670]"
A_55_P2106666	11	Adcy9	"ref|Mus musculus adenylate cyclase 9 (Adcy9), mRNA [NM_009624]"
A_51_P138895	9	Ccdc102a	"ref|Mus musculus coiled-coil domain containing 102A (Ccdc102a), mRNA [NM_001033533]"
A_52_P56682	7	Sla2	"ref|Mus musculus Src-like-adaptor 2 (Sla2), mRNA [NM_029983]"
A_51_P205028	5	Fgf3	"ref|Mus musculus fibroblast growth factor 3 (Fgf3), mRNA [NM_008007]"
A_55_P2121608	5	Sox4	ens|SRY-box containing gene 4 [Source:MGI Symbol;Acc:MGI:98366] [ENSMUST00000067230]
A_51_P449824	4	Exoc3l2	ens|exocyst complex component 3-like 2 [Source:MGI Symbol;Acc:MGI:1921713] [ENSMUST00000011407]
A_51_P180974	2	Prkcdbp	"ref|Mus musculus protein kinase C, delta binding protein (Prkcdbp), mRNA [NM_028444]"
A_55_P1962906	2	Als2cl	"ref|Mus musculus ALS2 C-terminal like (Als2cl), transcript variant 1, mRNA [NM_001146060]"
A_55_P2042743	2	Glrp1	"ref|Mus musculus glutamine repeat protein 1 (Glrp1), mRNA [NM_008132]"
A_66_P127224	2	Krt10	"ref|Mus musculus keratin 10 (Krt10), mRNA [NM_010660]"
A_51_P430929	1	Fam20a	"ref|Mus musculus family with sequence similarity 20, member A (Fam20a), mRNA [NM_153782]"
A_52_P55772	1	Tbxa2r	"ref|Mus musculus thromboxane A2 receptor (Tbxa2r), mRNA [NM_009325]"
A_55_P2023329	1	Ect2l	"ref|Mus musculus epithelial cell transforming sequence 2 oncogene-like (Ect2l), mRNA [NM_001195036]"
A_55_P2108248	1	Art4	"ref|Mus musculus ADP-ribosyltransferase 4 (Art4), mRNA [NM_026639]"
A_66_P135106	1	Slco3a1	"ref|Mus musculus solute carrier organic anion transporter family, member 3a1 (Slco3a1), transcript variant 2, mRNA [NM_001038643]"
