Variables	ROC	Sens	Spec	ROCSD	SensSD	SpecSD	SEED	SeSpAve
11	0.938194444	0.941666667	0.875	0.08859725	0.124536177	0.163157502	10	0.908333333
12	0.964583333	0.975	0.833333333	0.074826187	0.079056942	0.222222222	14	0.904166667
12	0.972222222	0.975	0.816666667	0.045360921	0.079056942	0.161015297	19	0.895833333
16	0.955555556	0.941666667	0.85	0.083024118	0.124536177	0.161015297	19	0.895833333
16	0.954166667	0.941666667	0.833333333	0.08436857	0.124536177	0.188398055	5	0.8875
11	0.934722222	0.975	0.8	0.107193673	0.079056942	0.219426863	11	0.8875
16	0.975	0.966666667	0.808333333	0.056245713	0.105409255	0.245483901	12	0.8875
20	0.975	1	0.775	0.056245713	0	0.23911488	12	0.8875
14	0.940972222	0.933333333	0.833333333	0.089248045	0.140545674	0.251538476	5	0.883333333
15	0.929166667	0.975	0.783333333	0.124303616	0.079056942	0.264108096	5	0.879166667
14	0.959722222	0.966666667	0.791666667	0.053371418	0.105409255	0.261317885	8	0.879166667
14	0.934722222	0.975	0.783333333	0.091673681	0.079056942	0.219426863	16	0.879166667
13	0.972222222	0.941666667	0.816666667	0.045360921	0.124536177	0.224982853	19	0.879166667
14	0.963888889	0.941666667	0.816666667	0.061488732	0.124536177	0.224982853	19	0.879166667
12	0.961805556	0.941666667	0.808333333	0.051890074	0.124536177	0.245483901	8	0.875
11	0.934027778	0.9	0.85	0.107246147	0.210818511	0.224982853	15	0.875
13	0.944444444	0.941666667	0.808333333	0.120013717	0.124536177	0.355837562	18	0.875
12	0.905555556	0.933333333	0.816666667	0.145343829	0.140545674	0.316227766	18	0.875
18	0.972222222	0.9	0.85	0.045360921	0.316227766	0.161015297	19	0.875
12	0.897916667	0.966666667	0.775	0.120905594	0.105409255	0.272307243	1	0.870833333
11	0.970138889	0.941666667	0.8	0.065476942	0.124536177	0.242797482	4	0.870833333
15	0.972222222	0.891666667	0.85	0.045360921	0.248607232	0.224982853	19	0.870833333
11	0.961805556	0.941666667	0.791666667	0.051890074	0.124536177	0.331592677	8	0.866666667
12	0.938888889	0.941666667	0.791666667	0.089580642	0.124536177	0.18941919	20	0.866666667
16	0.944444444	0.933333333	0.791666667	0.098861836	0.140545674	0.331592677	13	0.8625
19	0.961111111	0.975	0.75	0.073142288	0.079056942	0.260578653	19	0.8625
11	0.928472222	0.966666667	0.75	0.099835363	0.105409255	0.326315003	1	0.858333333
15	0.928472222	0.966666667	0.75	0.084991855	0.105409255	0.23895348	1	0.858333333
14	0.917361111	0.966666667	0.75	0.11035866	0.105409255	0.23895348	1	0.858333333
12	0.963888889	0.916666667	0.8	0.082869077	0.136082763	0.269887951	4	0.858333333
12	0.95	0.933333333	0.783333333	0.105409255	0.140545674	0.219426863	7	0.858333333
11	0.964583333	0.916666667	0.8	0.074826187	0.136082763	0.219426863	14	0.858333333
15	0.9625	0.95	0.766666667	0.08436857	0.158113883	0.323465036	15	0.858333333
12	0.951388889	0.916666667	0.8	0.086178289	0.180020575	0.242797482	15	0.858333333
13	0.920138889	0.966666667	0.741666667	0.116720391	0.105409255	0.343479832	1	0.854166667
15	0.957638889	0.975	0.733333333	0.101136482	0.079056942	0.265855247	4	0.854166667
11	0.925694444	0.875	0.833333333	0.104759118	0.226520923	0.188398055	5	0.854166667
13	0.923611111	0.975	0.733333333	0.117714649	0.079056942	0.31377825	11	0.854166667
