Variables	ROC	Sens	Spec	ROCSD	SensSD	SpecSD
1	0.852777778	0.716666667	0.716666667	0.177647522	0.314760344	0.261170206
2	0.908333333	0.775	0.883333333	0.11715799	0.222395766	0.153156097
3	0.913888889	0.775	0.808333333	0.136365975	0.272307243	0.229229789
4	0.872916667	0.808333333	0.75	0.123275571	0.319263234	0.207869855
5	0.885416667	0.808333333	0.791666667	0.122805235	0.319263234	0.148292754
6	0.940277778	0.841666667	0.85	0.101017203	0.230572289	0.161015297
7	0.923611111	0.875	0.883333333	0.103780147	0.163157502	0.153156097
8	0.898611111	0.841666667	0.883333333	0.148444438	0.279024978	0.153156097
9	0.917361111	0.875	0.883333333	0.108793834	0.226520923	0.153156097
10	0.925694444	0.875	0.85	0.104759118	0.226520923	0.161015297
11	0.931944444	0.875	0.85	0.098959349	0.226520923	0.161015297
12	0.931944444	0.875	0.825	0.098959349	0.226520923	0.19424593
13	0.940972222	0.908333333	0.791666667	0.089248045	0.149329778	0.18941919
14	0.940972222	0.966666667	0.775	0.089248045	0.105409255	0.171458882
15	0.929166667	0.891666667	0.8	0.124303616	0.248607232	0.242797482
16	0.954166667	0.866666667	0.733333333	0.08436857	0.322030594	0.221526689
17	0.9625	0.875	0.8	0.08436857	0.317323879	0.185092569
18	0.9625	0.975	0.691666667	0.08436857	0.079056942	0.269458763
19	0.9625	0.875	0.733333333	0.08436857	0.317323879	0.221526689
20	0.9625	0.925	0.675	0.08436857	0.237170825	0.28177677
25	0.849305556	0.7	0.716666667	0.308870382	0.483045892	0.233068633
30	0.660416667	0.9	0.566666667	0.461902141	0.316227766	0.396356866
40	0.769444444	0.625	0.725	0.387132276	0.489472505	0.266579847
50	0.696527778	0.5	0.675	0.425574155	0.527046277	0.381780268
60	0.615277778	0.258333333	0.825	0.459713131	0.409097924	0.37360853
70	0.256944444	0.4	0.65	0.40057668	0.516397779	0.474341649
80	0.3875	0.4	0.6	0.472242647	0.516397779	0.516397779
90	0.320833333	0.3	0.7	0.43922719	0.483045892	0.483045892
100	0.320833333	0.5	0.525	0.43922719	0.527046277	0.506211418
150	0.323611111	0.5	0.5	0.269478647	0.527046277	0.527046277
200	0.369444444	0.5	0.5	0.130814689	0.527046277	0.527046277
300	0.466666667	0.733333333	0.2	0.070272837	0.409757531	0.421637021
400	0.466666667	0.733333333	0.2	0.070272837	0.409757531	0.421637021
500	0.5	0.8	0.2	0	0.421637021	0.421637021
1188	0.5	0.8	0.2	0	0.421637021	0.421637021
